symbol,quantity,avg_price,market_price,notional,unrealized_pnl,realized_pnl,forecast
NQ.v.0,2,23885.8,23885.8,47771.5,0,0,15.1238
ZR.v.0,-1,11.66,11.66,-11.66,0,0,-19.5082
6E.v.0,0,1.17065,1.17065,0,0,0,7.52784
HE.v.0,0,96.15,96.15,0,0,0,2.49109
6M.v.0,2,0.05365,0.05365,0.1073,0,0,12.5541
CL.v.0,-1,63.02,63.02,-63.02,0,0,-9.52836
6J.v.0,0,0.0067885,0.0067885,0,0,0,-2.81848
PL.v.0,1,1377.8,1377.8,1377.8,0,0,11.8961
UB.v.0,0,120.25,120.25,0,0,0,8.74104
GC.v.0,0,3671.1,3671.1,0,0,0,18.4647
GF.v.0,0,349.925,349.925,0,0,0,12.8072
ZL.v.0,0,50.39,50.39,0,0,0,-2.27942
ZM.v.0,0,288.6,288.6,0,0,0,-5.22847
HG.v.0,0,4.567,4.567,0,0,0,-4.71613
6B.v.0,1,1.3522,1.3522,1.3522,0,0,6.51457
RB.v.0,-1,1.9988,1.9988,-1.9988,0,0,-10.0528
RTY.v.0,1,2374.6,2374.6,2374.6,0,0,15.8563
LE.v.0,0,230.025,230.025,0,0,0,11.4191
6S.v.0,0,1.2548,1.2548,0,0,0,9.07967
6N.v.0,0,0.59275,0.59275,0,0,0,2.37726
KE.v.0,0,509.25,509.25,0,0,0,-12.9962
ZC.v.0,0,419.5,419.5,0,0,0,-2.82595
6C.v.0,0,0.7224,0.7224,0,0,0,-2.0744
SI.v.0,0,41.36,41.36,0,0,0,20
ZN.v.0,0,113.25,113.25,0,0,0,20
YM.v.0,5,45652,45652,228260,0,0,16.1111
ZS.v.0,0,1030.5,1030.5,0,0,0,1.27194
ZW.v.0,0,519.5,519.5,0,0,0,-12.6693
