symbol,quantity,avg_price,market_price,notional,unrealized_pnl,realized_pnl,forecast
NQ.v.0,2,24000,23885.8,48000,0,-6855,14.9273
ZR.v.0,-1,11.66,11.66,-11.66,0,0,-18.7926
6E.v.0,0,1.17065,1.17065,0,0,0,7.38871
HE.v.0,0,96.15,96.15,0,0,0,2.33699
6M.v.0,2,0.05365,0.05365,0.1073,0,0,12.5686
CL.v.0,-1,63.02,63.02,-63.02,0,0,-9.51887
6J.v.0,0,0.0067885,0.0067885,0,0,0,-2.66601
PL.v.0,1,1377.8,1377.8,1377.8,0,0,11.8064
UB.v.0,0,120.25,120.25,0,0,0,8.94368
GC.v.0,0,3671.1,3671.1,0,0,20422,18.5576
GF.v.0,0,349.925,349.925,0,0,0,12.8376
ZL.v.0,0,50.39,50.39,0,0,0,-2.30042
ZM.v.0,0,288.6,288.6,0,0,0,-5.09632
HG.v.0,0,4.567,4.567,0,0,0,-4.87156
6B.v.0,1,1.3522,1.3522,1.3522,0,-0.32625,6.50163
RB.v.0,-1,1.9988,1.9988,-1.9988,0,0,-10.0222
RTY.v.0,1,2374.6,2374.6,2374.6,0,0,15.9064
LE.v.0,0,230.025,230.025,0,0,0,11.6108
6S.v.0,0,1.2548,1.2548,0,0,0,8.9367
6N.v.0,0,0.59275,0.59275,0,0,0,2.36246
KE.v.0,0,509.25,509.25,0,0,0,-12.762
ZC.v.0,0,419.5,419.5,0,0,0,-2.64608
6C.v.0,0,0.7224,0.7224,0,0,0,-2.03621
SI.v.0,0,41.36,41.36,0,0,0,20
ZN.v.0,0,113.25,113.25,0,0,0,20
YM.v.0,5,45470.9,45652,227354,0,5433.33,15.8862
ZS.v.0,0,1030.5,1030.5,0,0,0,1.24742
ZW.v.0,0,519.5,519.5,0,0,0,-12.6627
